Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

RUN1       LED_0603             48.768mm      135.89mm      48.768mm      135.89mm      49.518mm      135.89mm  T        180.00 LED 0603       
PWR1       LED_0603             48.768mm      133.35mm      48.768mm      133.35mm      49.518mm      133.35mm  T        180.00 LED 0603       
LINK1      LED_0603             48.768mm      130.81mm      48.768mm      130.81mm      49.518mm      130.81mm  T        180.00 LED 0603       
C34        CAPPR7.5-16X25_1       8.255mm      36.322mm       8.255mm      36.322mm       5.005mm      36.322mm  T        360.00 Cap Pol 200/100
U46        D014_N                92.71mm      106.68mm       92.71mm      106.68mm       95.11mm      110.49mm  B        180.00 SN74AC04D      
C17        CAP0805              87.757mm      109.22mm      87.757mm      109.22mm      88.932mm      109.22mm  T        180.00 CAP0805 0.01uF X7R
R156       RES0805             149.225mm      -5.715mm     149.225mm      -5.715mm     148.175mm      -5.715mm  B          0.00 RES0805 10K 1% 
R1         RES0805              48.895mm     116.205mm      48.895mm     116.205mm      49.945mm     116.205mm  T        180.00 RES0805 10K 1% 
U27        DIP-4               31.7508mm      48.895mm     31.7508mm      48.895mm     33.0208mm      52.705mm  T        270.00 Optoisolator1  
R88        RES0805             33.0208mm      56.515mm     33.0208mm      56.515mm     33.0208mm      57.565mm  T        270.00 RES0805 330R 1%
R107       RES0805             33.0208mm      41.275mm     33.0208mm      41.275mm     33.0208mm      42.325mm  T        270.00 ChipRes        
R123       RES0805             120.015mm       36.83mm     120.015mm       36.83mm     120.015mm       37.88mm  T        270.00 RES0805 510R 1%
X1         BCY-W2/E4.7         100.965mm      92.075mm     100.965mm      92.075mm     100.965mm      89.635mm  T         90.00 XTAL           
R128       RES0805             132.715mm       36.83mm     132.715mm       36.83mm     132.715mm       35.78mm  T         90.00 RES0805 1K 1%  
R129       RES0805             135.255mm       36.83mm     135.255mm       36.83mm     135.255mm       37.88mm  T        270.00 RES0805 510R 1%
R122       RES0805             117.475mm       36.83mm     117.475mm       36.83mm     117.475mm       35.78mm  T         90.00 RES0805 1K 1%  
R124       RES0805             122.555mm       36.83mm     122.555mm       36.83mm     122.555mm       35.78mm  T         90.00 RES0805 1K 1%  
R125       RES0805             125.095mm       36.83mm     125.095mm       36.83mm     125.095mm       37.88mm  T        270.00 RES0805 510R 1%
R126       RES0805             127.635mm       36.83mm     127.635mm       36.83mm     127.635mm       35.78mm  T         90.00 RES0805 1K 1%  
R127       RES0805             130.175mm       36.83mm     130.175mm       36.83mm     130.175mm       37.88mm  T        270.00 RES0805 510R 1%
R151       RES0805              93.091mm      91.821mm      93.091mm      91.821mm      93.091mm      92.871mm  B        270.00 RES0805 10K 1% 
R45        RES0805              97.155mm      88.265mm      97.155mm      88.265mm      97.155mm      89.315mm  T        270.00 RES0805 220R 1%
R152       RES0805               85.49mm      76.395mm       85.49mm      76.395mm       85.49mm      77.445mm  B        270.00 RES0805 10K 1% 
R80        RES0805              50.165mm       60.96mm      50.165mm       60.96mm      50.165mm       59.91mm  T         90.00 RES0805 1K 1%  
R40        RES0805               95.25mm      95.885mm       95.25mm      95.885mm        96.3mm      95.885mm  T        180.00 RES0805 220R 1%
R153       RES0805               83.49mm      76.395mm       83.49mm      76.395mm       83.49mm      77.445mm  B        270.00 RES0805 10K 1% 
Q22        SOT23               133.985mm       41.91mm     133.985mm       41.91mm     133.035mm       40.71mm  T         90.00 BC857          
Q19        SOT23               118.745mm       41.91mm     118.745mm       41.91mm     117.795mm       40.71mm  T         90.00 BC857          
Q20        SOT23               123.825mm       41.91mm     123.825mm       41.91mm     122.875mm       40.71mm  T         90.00 BC857          
Q21        SOT23               128.905mm       41.91mm     128.905mm       41.91mm     127.955mm       40.71mm  T         90.00 BC857          
LED6       PLCC-2              133.985mm      47.625mm     133.985mm      47.625mm     133.985mm      49.125mm  T        270.00 LED 0603       
LED3       PLCC-2              118.745mm      47.625mm     118.745mm      47.625mm     118.745mm      49.125mm  T        270.00 LED 0603       
LED4       PLCC-2              123.825mm      47.625mm     123.825mm      47.625mm     123.825mm      49.125mm  T        270.00 LED 0603       
LED5       PLCC-2              128.905mm      47.625mm     128.905mm      47.625mm     128.905mm      49.125mm  T        270.00 LED 0603       
LED2       LED_0603             48.895mm      69.088mm      48.895mm      69.088mm      48.895mm      68.338mm  T         90.00 LED 0603       
L4         CM45                  91.44mm     100.965mm       91.44mm     100.965mm      89.035mm     100.965mm  T        360.00 Inductance     
C23        CAP0805             104.775mm      94.615mm     104.775mm      94.615mm     104.775mm       93.44mm  T         90.00 CAP0805 22pF X7R
C60        CAP0805               31.75mm      73.025mm       31.75mm      73.025mm      30.575mm      73.025mm  B        360.00 CAP0805 0.1uF X7R
C19        CAPC7343              92.71mm      105.41mm       92.71mm      105.41mm       89.21mm      105.41mm  T        360.00 Cap Pol SMD    
C55        CAP0805              70.485mm       78.74mm      70.485mm       78.74mm      70.485mm      79.915mm  B        270.00 CAP0805 0.01uF X7R
C57        CAP0805              75.565mm       78.74mm      75.565mm       78.74mm       74.39mm       78.74mm  B        360.00 CAP0805 0.01uF X7R
C56        CAP0805              80.645mm       78.74mm      80.645mm       78.74mm       79.47mm       78.74mm  B        360.00 CAP0805 0.01uF X7R
C58        CAP0805               87.63mm      76.327mm       87.63mm      76.327mm       87.63mm      75.152mm  B         90.00 CAP0805 0.01uF X7R
C54        CAP0805              86.995mm      81.407mm      86.995mm      81.407mm      86.995mm      82.582mm  B        270.00 CAP0805 0.01uF X7R
C24        CAP0805             104.775mm       90.17mm     104.775mm       90.17mm     104.775mm      91.345mm  T        270.00 CAP0805 22pF X7R
C50        CAP0805              89.408mm        88.9mm      89.408mm        88.9mm      90.583mm        88.9mm  B        180.00 CAP0805 0.1uF X7R
C51        CAP0805              86.995mm      85.725mm      86.995mm      85.725mm      86.995mm       84.55mm  B         90.00 CAP0805 0.01uF X7R
C48        CAP0805              86.995mm      92.075mm      86.995mm      92.075mm      86.995mm       93.25mm  B        270.00 CAP0805 0.01uF X7R
C45        CAP0805              85.852mm       95.25mm      85.852mm       95.25mm      87.027mm       95.25mm  B        180.00 CAP0805 0.01uF X7R
C46        CAP0805              80.645mm       95.25mm      80.645mm       95.25mm       81.82mm       95.25mm  B        180.00 CAP0805 0.01uF X7R
C47        CAP0805                76.2mm       95.25mm        76.2mm       95.25mm      77.375mm       95.25mm  B        180.00 CAP0805 0.01uF X7R
C59        CAP0805               67.31mm      74.803mm       67.31mm      74.803mm      66.135mm      74.803mm  B        360.00 CAP0805 0.01uF X7R
C44        CAP0805              72.898mm      98.298mm      72.898mm      98.298mm      72.898mm      99.473mm  B        270.00 CAP0805 0.01uF X7R
C49        CAP0805              70.485mm       90.17mm      70.485mm       90.17mm      70.485mm      91.345mm  B        270.00 CAP0805 0.01uF X7R
Q25        SOT23                74.295mm       31.75mm      74.295mm       31.75mm      73.345mm       30.55mm  T         90.00 BC847          
R93        RES0805             61.5958mm      56.261mm     61.5958mm      56.261mm     61.5958mm      57.311mm  T        270.00 RES0805 100R 1%
R112       RES0805              61.595mm      41.275mm      61.595mm      41.275mm      61.595mm      42.325mm  T        270.00 RES0805 510R 1%
R133       RES0805               73.66mm       24.13mm       73.66mm       24.13mm       73.66mm       23.08mm  T         90.00 RES0805 1K 1%  
R137       RES0805               73.66mm      14.605mm       73.66mm      14.605mm       73.66mm      13.555mm  T         90.00 RES0805 220R 1%
LED9       LED_0603               76.2mm      14.605mm        76.2mm      14.605mm        76.2mm      15.355mm  T        270.00 LED 0603       
U32        DIP-4                60.325mm      48.895mm      60.325mm      48.895mm      61.595mm      52.705mm  T        270.00 Optoisolator1  
Q29        SOT23                 74.93mm       19.05mm       74.93mm       19.05mm       73.73mm          20mm  T        360.00 BC847          
D17        DO-41                 83.82mm       34.29mm       83.82mm       34.29mm       78.59mm       34.29mm  T        360.00 Diode 1N4007   
P11        MOLEX_FPC/FFC_10PIN      -3.715mm      48.895mm       -5.08mm      48.895mm       -2.54mm      44.395mm  B         90.00 FPC_Socket     
P8         MOLEX_HEADER_8_2MM_PITCH      -4.645mm      48.895mm      -1.905mm      48.895mm      -1.905mm       55.88mm  T        270.00 FPC_Socket     
D22        SOT23                  7.62mm       48.26mm        7.62mm       48.26mm        6.42mm       47.31mm  B        360.00 PESD5V0        
D11        SOT23                  7.62mm       48.26mm        7.62mm       48.26mm        8.82mm       47.31mm  T        180.00 PESD5V0        
D21        SOT23                 3.175mm      50.165mm       3.175mm      50.165mm       1.975mm      49.215mm  B        360.00 BAT54S         
D23        SOT23                 3.175mm      46.355mm       3.175mm      46.355mm       4.375mm      47.305mm  B        180.00 BAT54S         
D10        SOT23                 3.175mm      50.165mm       3.175mm      50.165mm       4.375mm      49.215mm  T        180.00 BAT54S         
D12        SOT23                 3.175mm      46.355mm       3.175mm      46.355mm       4.375mm      45.405mm  T        180.00 BAT54S         
U1         SOT23-5              48.895mm     120.015mm      48.895mm     120.015mm      47.945mm     118.815mm  T         90.00 LM3671         
L1         CDRH2D14             48.895mm      124.46mm      48.895mm      124.46mm     49.9557mm    125.5207mm  T        180.00 Inductance     
C5         CAP1210               52.07mm     119.507mm       52.07mm     119.507mm       52.07mm     117.732mm  T         90.00 ChipCap 10u X7R
R32        RES0805             112.395mm      106.68mm     112.395mm      106.68mm     111.345mm      106.68mm  T        360.00 RES0805 510R 1%
R33        RES0805             126.365mm     106.045mm     126.365mm     106.045mm     127.415mm     106.045mm  T        180.00 RES0805 470R 1%
C52        CAP0805              70.485mm       85.09mm      70.485mm       85.09mm      70.485mm      86.265mm  B        270.00 CAP0805 0.01uF X7R
P7         IDC-10MS(MR)          64.77mm        63.5mm       64.77mm        63.5mm       59.69mm       62.23mm  T        360.00 IDC-10MS (JTAG connector)
R66        RES0805               60.96mm      70.993mm       60.96mm      70.993mm       60.96mm      69.943mm  T         90.00 RES0805 10K 1% 
R65        RES0805              58.928mm      70.993mm      58.928mm      70.993mm      58.928mm      69.943mm  T         90.00 RES0805 10K 1% 
R64        RES0805              56.896mm      70.993mm      56.896mm      70.993mm      56.896mm      69.943mm  T         90.00 RES0805 10K 1% 
R63        RES0805               54.61mm      70.993mm       54.61mm      70.993mm       54.61mm      69.943mm  T         90.00 RES0805 10K 1% 
BOOT1      RES0805                76.2mm     118.491mm        76.2mm     118.491mm       77.25mm     118.491mm  T        180.00 ChipRes        
C7         CAP0805             126.365mm     132.715mm     126.365mm     132.715mm      125.19mm     132.715mm  T        360.00 CAP0805 0.1uF X7R
C1         CAP0805             126.365mm     139.065mm     126.365mm     139.065mm      125.19mm     139.065mm  T        360.00 CAP0805 0.1uF X7R
C32        CAP0805              153.67mm      57.785mm      153.67mm      57.785mm     152.495mm      57.785mm  T        360.00 CAP0805 0.1uF X7R
C8         CAP0805             126.365mm      125.73mm     126.365mm      125.73mm      125.19mm      125.73mm  T        360.00 CAP0805 0.1uF X7R
C11        CAP0805             126.365mm     118.745mm     126.365mm     118.745mm      125.19mm     118.745mm  T        360.00 CAP0805 0.1uF X7R
C6         CAP0805               55.88mm     117.602mm       55.88mm     117.602mm       55.88mm     116.427mm  T         90.00 CAP0805 0.1uF X7R
C16        CAP0805              76.835mm      121.92mm      76.835mm      121.92mm      76.835mm     120.745mm  T         90.00 CAP0805 0.1uF X7R
C37        CAP0805              142.24mm       24.13mm      142.24mm       24.13mm     141.065mm       24.13mm  T        360.00 CAP0805 1uF X7R
C38        CAP0805             158.115mm      21.717mm     158.115mm      21.717mm      156.94mm      21.717mm  T        360.00 CAP0805 0.1uF X7R
C35        CAP0805              142.24mm       31.75mm      142.24mm       31.75mm     141.065mm       31.75mm  T        360.00 CAP0805 1uF X7R
C36        CAP0805             159.417mm      30.226mm     159.417mm      30.226mm     158.242mm      30.226mm  T        360.00 CAP0805 0.1uF X7R
C21        CAP0805              111.76mm       101.6mm      111.76mm       101.6mm     112.935mm       101.6mm  T        180.00 CAP0805 0.1uF X7R
C14        CAP0805             126.365mm     113.665mm     126.365mm     113.665mm      125.19mm     113.665mm  T        360.00 CAP0805 0.1uF X7R
P6         WR-CRD_SD_MICRO      27.296mm      70.162mm      31.496mm      76.962mm      25.626mm      74.692mm  T        270.00 Micro SD Card Connector
R2         RES0805             112.395mm      138.43mm     112.395mm      138.43mm     111.345mm      138.43mm  T        360.00 RES0805 330R 1%
R10        RES0805             112.395mm      134.62mm     112.395mm      134.62mm     111.345mm      134.62mm  T        360.00 RES0805 330R 1%
R13        RES0805             112.395mm      132.08mm     112.395mm      132.08mm     111.345mm      132.08mm  T        360.00 RES0805 330R 1%
R16        RES0805             112.395mm      128.27mm     112.395mm      128.27mm     111.345mm      128.27mm  T        360.00 RES0805 330R 1%
R43        RES0805              111.76mm      92.075mm      111.76mm      92.075mm      112.81mm      92.075mm  T        180.00 RES0805 1K 1%  
R44        RES0805                 127mm      92.075mm         127mm      92.075mm      125.95mm      92.075mm  T        360.00 RES0805 1K 1%  
R38        RES0805              111.76mm       99.06mm      111.76mm       99.06mm      110.71mm       99.06mm  T        360.00 RES0805 100R 1%
R39        RES0805                 127mm       97.79mm         127mm       97.79mm      128.05mm       97.79mm  T        180.00 RES0805 10K 1% 
R47        RES0805              111.76mm       86.36mm      111.76mm       86.36mm      112.81mm       86.36mm  T        180.00 RES0805 1K 1%  
R48        RES0805                 127mm       86.36mm         127mm       86.36mm      125.95mm       86.36mm  T        360.00 RES0805 510R 1%
R77        RES0805             149.225mm      62.865mm     149.225mm      62.865mm     149.225mm      61.815mm  T         90.00 RES0805 1K 1%  
R84        RES0805              166.37mm       59.69mm      166.37mm       59.69mm      165.32mm       59.69mm  T        360.00 RES0805 10K 1% 
R85        RES0805             141.605mm       58.42mm     141.605mm       58.42mm     140.555mm       58.42mm  T        360.00 RES0805 5K1 1% 
R86        RES0805             146.685mm       58.42mm     146.685mm       58.42mm     145.635mm       58.42mm  T        360.00 RES0805 5K1 1% 
R20        RES0805             126.365mm      123.19mm     126.365mm      123.19mm     125.315mm      123.19mm  T        360.00 RES0805 510R 1%
R22        RES0805             126.365mm      120.65mm     126.365mm      120.65mm     125.315mm      120.65mm  T        360.00 RES0805 510R 1%
R24        RES0805             126.365mm     116.332mm     126.365mm     116.332mm     125.315mm     116.332mm  T        360.00 RES0805 510R 1%
R19        RES0805             112.395mm      125.73mm     112.395mm      125.73mm     111.345mm      125.73mm  T        360.00 RES0805 330R 1%
R82        RES0805              166.37mm       62.23mm      166.37mm       62.23mm      167.42mm       62.23mm  T        180.00 RES0805 5K1 1% 
R21        RES0805             112.395mm      121.92mm     112.395mm      121.92mm     111.345mm      121.92mm  T        360.00 RES0805 330R 1%
R76        RES0805              166.37mm       64.77mm      166.37mm       64.77mm      165.32mm       64.77mm  T        360.00 RES0805 47K 1% 
R23        RES0805             112.395mm      119.38mm     112.395mm      119.38mm     111.345mm      119.38mm  T        360.00 RES0805 330R 1%
R25        RES0805             112.395mm      115.57mm     112.395mm      115.57mm     111.345mm      115.57mm  T        360.00 RES0805 330R 1%
R8         RES0805              53.975mm      135.89mm      53.975mm      135.89mm      55.025mm      135.89mm  T        180.00 RES0805 510R 1%
R7         RES0805              53.975mm      133.35mm      53.975mm      133.35mm      55.025mm      133.35mm  T        180.00 RES0805 510R 1%
R6         RES0805              53.975mm      130.81mm      53.975mm      130.81mm      55.025mm      130.81mm  T        180.00 RES0805 510R 1%
R28        RES0805                76.2mm     116.205mm        76.2mm     116.205mm       77.25mm     116.205mm  T        180.00 RES0805 4K7 1% 
R130       RES0805             163.195mm      25.781mm     163.195mm      25.781mm     164.245mm      25.781mm  T        180.00 RES0805 10K 1% 
R121       RES0805             163.195mm       27.94mm     163.195mm       27.94mm     164.245mm       27.94mm  T        180.00 RES0805 10K 1% 
R37        RES0805             126.365mm      102.87mm     126.365mm      102.87mm     125.315mm      102.87mm  T        360.00 RES0805 470R 1%
R104       RES0805             163.195mm      36.195mm     163.195mm      36.195mm     164.245mm      36.195mm  T        180.00 RES0805 10K 1% 
R35        RES0805             112.395mm      104.14mm     112.395mm      104.14mm     113.445mm      104.14mm  T        180.00 RES0805 510R 1%
R105       RES0805             163.195mm      34.036mm     163.195mm      34.036mm     164.245mm      34.036mm  T        180.00 RES0805 10K 1% 
R29        RES0805             126.365mm     111.125mm     126.365mm     111.125mm     125.315mm     111.125mm  T        360.00 RES0805 510R 1%
R31        RES0805             126.365mm     108.585mm     126.365mm     108.585mm     125.315mm     108.585mm  T        360.00 RES0805 510R 1%
R26        RES0805             112.395mm      113.03mm     112.395mm      113.03mm     111.345mm      113.03mm  T        360.00 RES0805 330R 1%
R30        RES0805             112.395mm     109.855mm     112.395mm     109.855mm     111.345mm     109.855mm  T        360.00 RES0805 330R 1%
R74        RES0805             38.7349mm      66.675mm     38.7349mm      66.675mm      37.685mm      66.675mm  T        360.00 RES0805 10K 1% 
