Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

R96        RES0805              38.735mm      88.265mm      38.735mm      88.265mm      39.785mm      88.265mm  T        180.00 RES0805 1K 1%  
R95        RES0805              38.735mm      92.075mm      38.735mm      92.075mm      39.785mm      92.075mm  T        180.00 RES0805 1K 1%  
Q37        SOT23                32.385mm      80.645mm      32.385mm      80.645mm      33.585mm      79.695mm  T        180.00 BC847          
Q36        SOT23                32.385mm      84.455mm      32.385mm      84.455mm      33.585mm      83.505mm  T        180.00 BC847          
Q35        SOT23                32.385mm      88.265mm      32.385mm      88.265mm      33.585mm      87.315mm  T        180.00 BC847          
Q34        SOT23                32.385mm      92.075mm      32.385mm      92.075mm      33.585mm      91.125mm  T        180.00 BC847          
LED14      PLCC-2               27.305mm      80.645mm      27.305mm      80.645mm      28.805mm      80.645mm  T        180.00 LED 0603       
LED13      PLCC-2               27.305mm       85.09mm      27.305mm       85.09mm      28.805mm       85.09mm  T        180.00 LED 0603       
LED12      PLCC-2               27.305mm      89.535mm      27.305mm      89.535mm      28.805mm      89.535mm  T        180.00 LED 0603       
LED11      PLCC-2               27.305mm       93.98mm      27.305mm       93.98mm      28.805mm       93.98mm  T        180.00 LED 0603       
R51        RES0805              38.735mm       3.175mm      38.735mm       3.175mm      37.685mm       3.175mm  B        360.00 RES0805 120R 1%
R50        RES0805              76.835mm      37.338mm      76.835mm      37.338mm      75.785mm      37.338mm  T        360.00 RES0805 1K 1%  
C31        CAP0805              73.533mm      42.545mm      73.533mm      42.545mm      72.358mm      42.545mm  B          0.00 CAP0805 0.1uF X7R
C30        CAP0805              69.215mm      42.545mm      69.215mm      42.545mm       68.04mm      42.545mm  B        360.00 CAP0805 30pF X7R
C29        CAP0805               72.39mm       46.99mm       72.39mm       46.99mm      71.215mm       46.99mm  B          0.00 CAP0805 0.1uF X7R
C27        CAP0805              74.295mm      55.118mm      74.295mm      55.118mm      74.295mm      56.293mm  T        270.00 CAP0805 0.1uF X7R
U47        SOIC8                14.605mm      69.215mm      14.605mm      69.215mm        12.7mm      66.815mm  T         90.00 HCPL-0931      
C25        CAP0805              13.589mm      65.405mm      13.589mm      65.405mm      13.589mm       64.23mm  B         90.00 CAP0805 0.1uF X7R
C13        CAP0805              13.589mm      73.025mm      13.589mm      73.025mm      13.589mm        74.2mm  B        270.00 CAP0805 0.1uF X7R
U18        SOIC8                81.661mm        63.5mm      81.661mm        63.5mm      79.756mm        61.1mm  T         90.00 M24256         
C12        CAP0805               77.47mm      62.357mm       77.47mm      62.357mm       77.47mm      61.182mm  T         90.00 CAP0805 0.1uF X7R
WIFI1      RES0805                50.8mm     108.585mm        50.8mm     108.585mm       51.85mm     108.585mm  T        180.00 ChipRes        
Q33        SOT23                49.784mm      64.897mm      49.784mm      64.897mm      48.834mm      63.697mm  T         90.00 BC847          
Q32        SOT23                45.339mm      64.897mm      45.339mm      64.897mm      44.389mm      63.697mm  T         90.00 BC847          
K4         G5LA                 105.41mm      19.165mm      105.41mm      12.065mm      105.41mm      12.065mm  T         90.00 Relay 1 pole   
K3         G5LA                  85.09mm      19.165mm       85.09mm      12.065mm       85.09mm      12.065mm  T         90.00 Relay 1 pole   
R155       RES0805             125.095mm      33.655mm     125.095mm      33.655mm     125.095mm      34.705mm  B        270.00 RES0805 100R 1%
R154       RES0805             130.175mm      33.655mm     130.175mm      33.655mm     130.175mm      34.705mm  B        270.00 RES0805 100R 1%
R59        RES0805                 127mm      76.835mm         127mm      76.835mm      125.95mm      76.835mm  T        360.00 RES0805 4K7 1% 
U45        TO-220                20.32mm       22.86mm       20.32mm       22.86mm       20.32mm       20.32mm  T         90.00 LM7805         
C62        CAP0805               22.86mm       24.13mm       22.86mm       24.13mm       22.86mm      22.955mm  B         90.00 CAP0805 0.1uF X7R
C41        CAPC7343              22.86mm       13.97mm       22.86mm       13.97mm       19.36mm       13.97mm  T        360.00 Cap Pol SMD    
U19        SOP8                  1.905mm      74.295mm       1.905mm      74.295mm       4.305mm       72.39mm  T        180.00 MC34063        
R56        RES0805                7.62mm       78.74mm        7.62mm       78.74mm        8.67mm       78.74mm  T        180.00 RES0805 11K 1% 
R55        RES0805               1.905mm       78.74mm       1.905mm       78.74mm       2.955mm       78.74mm  T        180.00 RES0805 18K 1% 
R70        RES0805               -6.35mm       67.31mm       -6.35mm       67.31mm       -6.35mm       66.26mm  T         90.00 RES0805 1R2 1% 
R71        RES0805               -3.81mm       67.31mm       -3.81mm       67.31mm       -3.81mm       66.26mm  T         90.00 RES0805 1R2 1% 
D9         SMB1                 10.795mm      86.106mm      10.795mm      86.106mm       13.17mm      86.106mm  T        180.00 STPS2150A      
C26        CAP0805                8.89mm       74.93mm        8.89mm       74.93mm      10.065mm       74.93mm  T        180.00 CAP0805 1000pF NP0
C22        CAPC7343               5.08mm      90.805mm        5.08mm      90.805mm        1.58mm      90.805mm  T        360.00 Cap Pol SMD    
C28        CAPC7343              3.175mm      64.135mm       3.175mm      64.135mm      -0.325mm      64.135mm  T        360.00 Cap Pol SMD    
C33        CAP0805              148.59mm       54.61mm      148.59mm       54.61mm      148.59mm      55.785mm  T        270.00 CAP0805 0.1uF X7R
U29        DIP-4               43.1808mm      48.895mm     43.1808mm      48.895mm     41.9108mm      45.085mm  T         90.00 Optoisolator1  
U35        SOIC8               72.3908mm      39.751mm     72.3908mm      39.751mm     74.2958mm      42.151mm  T        270.00 MCP2551        
U34        SOIC8               72.3908mm      48.895mm     72.3908mm      48.895mm     74.2958mm      51.295mm  T        270.00 HCPL-0931      
R109       RES0805             41.9108mm      41.275mm     41.9108mm      41.275mm     41.9108mm      40.225mm  T         90.00 RES0805 100R 1%
R90        RES0805             41.9108mm      56.515mm     41.9108mm      56.515mm     41.9108mm      55.465mm  T         90.00 RES0805 510R 1%
U20        DIP-4                119.38mm       69.85mm      119.38mm       69.85mm      123.19mm       68.58mm  T        180.00 Optoisolator1  
U40        DIP-4                111.76mm      48.895mm      111.76mm      48.895mm      113.03mm      52.705mm  T        270.00 Optoisolator1  
U37        DIP-4                94.615mm      48.895mm      94.615mm      48.895mm      93.345mm      45.085mm  T         90.00 Optoisolator1  
U39        DIP-4               106.045mm      48.895mm     106.045mm      48.895mm     104.775mm      45.085mm  T         90.00 Optoisolator1  
U24        DIP-4                119.38mm       58.42mm      119.38mm       58.42mm      123.19mm       57.15mm  T        180.00 Optoisolator1  
U36        DIP-4                  88.9mm      48.895mm        88.9mm      48.895mm       90.17mm      52.705mm  T        270.00 Optoisolator1  
U38        DIP-4                100.33mm      48.895mm      100.33mm      48.895mm       99.06mm      45.085mm  T         90.00 Optoisolator1  
U21        DIP-4                119.38mm      64.135mm      119.38mm      64.135mm      115.57mm      65.405mm  T        360.00 Optoisolator1  
U17        DIP-4                119.38mm      75.565mm      119.38mm      75.565mm      115.57mm      76.835mm  T        360.00 Optoisolator1  
U16        DIP-4                119.38mm       81.28mm      119.38mm       81.28mm      123.19mm       80.01mm  T        180.00 Optoisolator1  
R120       RES0805              110.49mm      41.275mm      110.49mm      41.275mm      110.49mm      40.225mm  T         90.00 RES0805 4K7 1% 
R73        RES0805                 127mm       68.58mm         127mm       68.58mm      125.95mm       68.58mm  T        360.00 RES0805 220R 1%
R72        RES0805             113.284mm       67.31mm     113.284mm       67.31mm     113.284mm       68.36mm  T        270.00 RES0805 1K 1%  
R102       RES0805             109.855mm       57.15mm     109.855mm       57.15mm     108.805mm       57.15mm  T        360.00 RES0805 100R 1%
R117       RES0805              93.345mm      41.275mm      93.345mm      41.275mm      93.345mm      42.325mm  T        270.00 RES0805 220R 1%
