Designator,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Layer,Rotation,Comment,Value,,
Q24,SOT23,59.975mm,38.62mm,59.975mm,38.62mm,59.025mm,37.42mm,T,90,BC847,,,
R12,RES1206,106.33mm,140.22mm,106.33mm,140.22mm,104.905mm,140.22mm,T,360,ChipRes,4K7,,4K7
R136,RES1206,37.75mm,22.11mm,37.75mm,22.11mm,37.75mm,20.685mm,T,90,ChipRes,220,,220
R132,RES1206,37.75mm,31.635mm,37.75mm,31.635mm,37.75mm,33.06mm,T,270,ChipRes,1K,,1K
R110,RES1206,61.8792mm,48.145mm,61.8792mm,48.145mm,61.8792mm,49.57mm,T,270,ChipRes,510,,510
R11,RES1206,94.9mm,140.22mm,94.9mm,140.22mm,93.475mm,140.22mm,T,360,ChipRes,4K7,,4K7
R91,RES1206,61.88mm,63.131mm,61.88mm,63.131mm,61.88mm,61.706mm,T,90,ChipRes,1K,,1K
R135,RES1206,58.705mm,22.745mm,58.705mm,22.745mm,58.705mm,21.32mm,T,90,ChipRes,220,,220
R131,RES1206,58.705mm,32.27mm,58.705mm,32.27mm,58.705mm,33.695mm,T,270,ChipRes,1K,,1K
R89,RES1206,47.9092mm,63.385mm,47.9092mm,63.385mm,47.9092mm,61.96mm,T,90,ChipRes,510,,510
R111,RES1206,67.5942mm,48.145mm,67.5942mm,48.145mm,67.5942mm,49.57mm,T,270,ChipRes,510,,510
R108,RES1206,47.9092mm,48.145mm,47.9092mm,48.145mm,47.9092mm,49.57mm,T,270,ChipRes,100,,100
R92,RES1206,67.595mm,63.131mm,67.595mm,63.131mm,67.595mm,61.706mm,T,90,ChipRes,1K,,1K
U30,DIP-4,60.6092mm,55.765mm,60.6092mm,55.765mm,61.8792mm,59.575mm,T,270,Optoisolator1,,,
U28,DIP-4,49.1792mm,55.765mm,49.1792mm,55.765mm,47.9092mm,51.955mm,T,90,Optoisolator1,,,
U31,DIP-4,66.3242mm,55.765mm,66.3242mm,55.765mm,67.5942mm,59.575mm,T,270,Optoisolator1,,,
D7,DO-214AS,107.6mm,133.235mm,107.6mm,133.235mm,105.5mm,133.235mm,T,360,TVS Diode,,,
D6,DO-214AS,96.17mm,133.235mm,96.17mm,133.235mm,94.07mm,133.235mm,T,360,TVS Diode,,,
C39,CAPPR5-10x17_1,5.365mm,29.73mm,5.365mm,29.73mm,2.865mm,29.73mm,T,360,Cap Pol 100/47,47u,,47u
P10,Socket_4x5.08,19.97mm,6.87mm,19.97mm,6.87mm,12.35mm,6.87mm,T,90,Terminal Block 4x5.08mm,,,
RU1,S14K25,11.715mm,12.585mm,11.715mm,12.585mm,15.525mm,11.696mm,T,180,Varistor S14F25,,,
C40,CAPPR5-10x17_1,17.43mm,29.73mm,17.43mm,29.73mm,17.43mm,32.23mm,T,270,Cap Pol 100/47,47u,,47u
D20,DO-214AS,28.225mm,16.395mm,28.225mm,16.395mm,26.125mm,16.395mm,T,360,TVS Diode,,,
F2,PTC1812,21.24mm,18.935mm,21.24mm,18.935mm,21.24mm,16.835mm,T,90,Fuse,,,
RU2,S14K25,28.225mm,12.585mm,28.225mm,12.585mm,32.035mm,11.696mm,T,180,Varistor S14F25,,,
R157,RES1206,91.725mm,-1.385mm,91.725mm,-1.385mm,93.15mm,-1.385mm,B,180,ChipRes,1K,,1K
R41,RES1206,12.985mm,101.485mm,12.985mm,101.485mm,14.41mm,101.485mm,T,180,ChipRes,1K,,1K
R9,RES1206,83.47mm,140.855mm,83.47mm,140.855mm,83.47mm,142.28mm,T,270,ChipRes,1K,,1K
STM PWR 1,PLCC-2,18.7mm,100.215mm,18.7mm,100.215mm,18.7mm,98.715mm,T,90,LED,,,
WIFI PWR 1,PLCC-2,83.47mm,146.57mm,83.47mm,146.57mm,81.97mm,146.57mm,T,360,LED,,,
LED1,LED_0603,52.355mm,75.958mm,52.355mm,75.958mm,52.355mm,75.208mm,T,90,LED 0603,,,
R79,RES1206,51.212mm,66.052mm,51.212mm,66.052mm,51.212mm,64.627mm,T,90,ChipRes,1K,,1K
R106,RES1206,39.0192mm,48.145mm,39.0192mm,48.145mm,39.0192mm,49.57mm,T,270,ChipRes,1K,,1K
R87,RES1206,39.0192mm,63.385mm,39.0192mm,63.385mm,39.0192mm,61.96mm,T,90,ChipRes,330,,330
U26,DIP-4,37.7492mm,55.765mm,37.7492mm,55.765mm,39.0192mm,59.575mm,T,270,Optoisolator1,,,
D18,DO-41,113.315mm,40.525mm,113.315mm,40.525mm,108.085mm,40.525mm,T,360,Diode 1N4007,,,
LED10,LED_0603,102.52mm,21.475mm,102.52mm,21.475mm,102.52mm,22.225mm,T,270,LED 0603,,,
Q30,SOT23,101.25mm,25.92mm,101.25mm,25.92mm,100.05mm,26.87mm,T,0,BC847,,,
Q26,SOT23,101.25mm,38.62mm,101.25mm,38.62mm,100.3mm,37.42mm,T,90,BC847,,,
R138,RES1206,99.98mm,21.475mm,99.98mm,21.475mm,99.98mm,20.05mm,T,90,ChipRes,220,,220
R134,RES1206,100.107mm,31mm,100.107mm,31mm,100.107mm,32.425mm,T,270,ChipRes,1K,,1K
R113,RES1206,79.0242mm,48.145mm,79.0242mm,48.145mm,79.0242mm,49.57mm,T,270,ChipRes,510,,510
R94,RES1206,79.025mm,63.131mm,79.025mm,63.131mm,79.025mm,61.706mm,T,90,ChipRes,1K,,1K
U33,DIP-4,77.7542mm,55.765mm,77.7542mm,55.765mm,79.0242mm,59.575mm,T,270,Optoisolator1,,,
Q31,SOT23,86.645mm,-0.115mm,86.645mm,-0.115mm,87.845mm,0.835mm,B,180,BC857,,,
R54,RES1206,117.76mm,90.055mm,117.76mm,90.055mm,119.185mm,90.055mm,T,180,ChipRes,1K,,1K
R52,RES1206,133mm,89.42mm,133mm,89.42mm,134.425mm,89.42mm,T,180,ChipRes,510,,510
R58,RES1206,117.76mm,87.515mm,117.76mm,87.515mm,119.185mm,87.515mm,T,180,ChipRes,510,,510
R61,RES1206,133mm,81.165mm,133mm,81.165mm,134.425mm,81.165mm,T,180,ChipRes,100,,100
R75,RES1206,117.76mm,69.735mm,117.76mm,69.735mm,119.185mm,69.735mm,T,180,ChipRes,510,,510
R81,RES1206,133mm,69.735mm,133mm,69.735mm,134.425mm,69.735mm,T,180,ChipRes,4K7,,4K7
R99,RES1206,105.06mm,63.385mm,105.06mm,63.385mm,105.06mm,61.96mm,T,90,ChipRes,1K,,1K
R118,RES1206,105.06mm,48.145mm,105.06mm,48.145mm,105.06mm,49.57mm,T,270,ChipRes,1K,,1K
R116,RES1206,96.17mm,48.145mm,96.17mm,48.145mm,96.17mm,49.57mm,T,270,ChipRes,1K,,1K
R97,RES1206,96.17mm,63.385mm,96.17mm,63.385mm,96.17mm,61.96mm,T,90,ChipRes,510,,510
R83,RES1206,117.76mm,67.195mm,117.76mm,67.195mm,119.185mm,67.195mm,T,180,ChipRes,1K,,1K
R103,RES1206,133mm,64.02mm,133mm,64.02mm,131.575mm,64.02mm,T,360,ChipRes,510,,510
R100,RES1206,110.775mm,63.385mm,110.775mm,63.385mm,110.775mm,61.96mm,T,90,ChipRes,1K,,1K
R119,RES1206,110.775mm,48.145mm,110.775mm,48.145mm,110.775mm,49.57mm,T,270,ChipRes,510,,510
R98,RES1206,99.345mm,63.385mm,99.345mm,63.385mm,99.345mm,61.96mm,T,90,ChipRes,1K,,1K
R117,RES1206,99.345mm,48.145mm,99.345mm,48.145mm,99.345mm,49.57mm,T,270,ChipRes,510,,510
R102,RES1206,115.855mm,64.02mm,115.855mm,64.02mm,117.28mm,64.02mm,T,180,ChipRes,510,,510
R72,RES1206,119.284mm,74.18mm,119.284mm,74.18mm,119.284mm,75.605mm,T,270,ChipRes,1K,,1K
R73,RES1206,133mm,75.45mm,133mm,75.45mm,131.575mm,75.45mm,T,360,ChipRes,510,,510
R120,RES1206,116.49mm,48.145mm,116.49mm,48.145mm,116.49mm,46.72mm,T,90,ChipRes,1K,,1K
U16,DIP-4,125.38mm,88.15mm,125.38mm,88.15mm,129.19mm,86.88mm,T,180,Optoisolator1,,,
U17,DIP-4,125.38mm,82.435mm,125.38mm,82.435mm,121.57mm,83.705mm,T,360,Optoisolator1,,,
U21,DIP-4,125.38mm,71.005mm,125.38mm,71.005mm,121.57mm,72.275mm,T,360,Optoisolator1,,,
U38,DIP-4,106.33mm,55.765mm,106.33mm,55.765mm,105.06mm,51.955mm,T,90,Optoisolator1,,,
U36,DIP-4,94.9mm,55.765mm,94.9mm,55.765mm,96.17mm,59.575mm,T,270,Optoisolator1,,,
U24,DIP-4,125.38mm,65.29mm,125.38mm,65.29mm,129.19mm,64.02mm,T,180,Optoisolator1,,,
U39,DIP-4,112.045mm,55.765mm,112.045mm,55.765mm,110.775mm,51.955mm,T,90,Optoisolator1,,,
U37,DIP-4,100.615mm,55.765mm,100.615mm,55.765mm,99.345mm,51.955mm,T,90,Optoisolator1,,,
U40,DIP-4,117.76mm,55.765mm,117.76mm,55.765mm,119.03mm,59.575mm,T,270,Optoisolator1,,,
U20,DIP-4,125.38mm,76.72mm,125.38mm,76.72mm,129.19mm,75.45mm,T,180,Optoisolator1,,,
R90,RES1206,53.625mm,63.385mm,53.625mm,63.385mm,53.625mm,61.96mm,T,90,ChipRes,510,,510
R109,RES1206,53.625mm,48.145mm,53.625mm,48.145mm,53.625mm,49.57mm,T,270,ChipRes,100,,100
U34,SOIC8,84.105mm,55.765mm,84.105mm,55.765mm,86.01mm,58.165mm,T,270,HCPL-0931,,,
U35,SOIC8,84.105mm,46.621mm,84.105mm,46.621mm,86.01mm,49.021mm,T,270,MCP2551,,,
U29,DIP-4,54.895mm,55.765mm,54.895mm,55.765mm,53.625mm,51.955mm,T,90,Optoisolator1,,,
C33,CAP0805,154.59mm,61.48mm,154.59mm,61.48mm,154.59mm,62.655mm,T,270,ChipCap,0.1uF,,0.1uF
C28,CAPC7343,9.175mm,71.005mm,9.175mm,71.005mm,5.675mm,71.005mm,T,360,Cap Pol SMD,47u,,47u
C22,CAPC7343,11.08mm,97.675mm,11.08mm,97.675mm,7.58mm,97.675mm,T,360,Cap Pol SMD,47u,,47u
C26,CAP0805,14.89mm,81.8mm,14.89mm,81.8mm,16.065mm,81.8mm,T,180,ChipCap,1000pF,,1000pF
D9,SMB1,16.795mm,92.976mm,16.795mm,92.976mm,19.17mm,92.976mm,T,180,Diode chip,,,
R71,RES1206,2.19mm,74.18mm,2.19mm,74.18mm,2.19mm,75.605mm,T,270,ChipRes,1R2,,1R2
R70,RES1206,-0.35mm,74.18mm,-0.35mm,74.18mm,-0.35mm,75.605mm,T,270,ChipRes,1R2,,1R2
R55,RES1206,7.905mm,85.61mm,7.905mm,85.61mm,6.48mm,85.61mm,T,360,ChipRes,18K,,18K
R56,RES1206,13.62mm,85.61mm,13.62mm,85.61mm,12.195mm,85.61mm,T,360,ChipRes,11K,,11K
U19,SOP8,7.905mm,81.165mm,7.905mm,81.165mm,10.705mm,79.26mm,T,180,MC34063,,,
C41,CAPC7343,28.86mm,20.84mm,28.86mm,20.84mm,25.36mm,20.84mm,T,360,Cap Pol SMD,47u,,47u
C62,CAP0805,28.86mm,31mm,28.86mm,31mm,28.86mm,29.825mm,B,90,ChipCap,100nF,,100nF
U45,TO-220,26.32mm,29.73mm,26.32mm,29.73mm,26.32mm,27.19mm,T,90,LM7805,,,
R59,RES1206,133mm,83.705mm,133mm,83.705mm,134.425mm,83.705mm,T,180,ChipRes,4K7,,4K7
R154,RES1206,136.175mm,37.35mm,136.175mm,37.35mm,136.175mm,35.925mm,B,90,ChipRes,100,,100
R155,RES1206,131.095mm,37.35mm,131.095mm,37.35mm,131.095mm,35.925mm,B,90,ChipRes,100,,100
P9,CENR-50M,79.418mm,6.757mm,53.498mm,8.902mm,53.498mm,8.902mm,T,360,CENR-50M,,,
K3,G5LA,91.09mm,27.94mm,91.09mm,20.84mm,91.09mm,20.84mm,T,90,Relay 1 pole,,,
K4,G5LA,111.41mm,27.94mm,111.41mm,20.84mm,111.41mm,20.84mm,T,90,Relay 1 pole,,,
C3,CAP0805,49.18mm,144.03mm,49.18mm,144.03mm,49.18mm,145.205mm,T,270,ChipCap,0.1uF,,0.1uF
C4,CAP0805,39.02mm,143.395mm,39.02mm,143.395mm,39.02mm,142.22mm,T,90,ChipCap,0.1uF,,0.1uF
C9,CAP0805,49.18mm,130.06mm,49.18mm,130.06mm,49.18mm,131.235mm,T,270,ChipCap,0.1uF,,0.1uF
C10,CAP0805,39.02mm,129.425mm,39.02mm,129.425mm,39.02mm,128.25mm,T,90,ChipCap,0.1uF,,0.1uF
D3,SMB1,44.1mm,138.315mm,44.1mm,138.315mm,46.475mm,138.315mm,T,180,Diode chip,,,
D8,SMB1,44.1mm,124.98mm,44.1mm,124.98mm,46.475mm,124.98mm,T,180,Diode chip,,,
L2,Inductor,1.555mm,133.5525mm,1.555mm,137.68mm,1.555mm,137.68mm,T,270,Inductance,100nH,,100nH
L3,Inductor,13.62mm,133.5525mm,13.62mm,137.68mm,13.62mm,137.68mm,T,270,Inductance,100nH,,100nH
P4,Socket_4x5.08,6mm,114.82mm,6mm,114.82mm,6mm,122.44mm,T,0,Terminal Block 4x5.08mm,,,
Q7,SOT-223_N,24.415mm,131.33mm,24.415mm,131.33mm,27.315mm,129.03mm,T,180,IRFL214,,,
Q2,SOT-223_N,24.415mm,143.395mm,24.415mm,143.395mm,27.315mm,141.095mm,T,180,IRFL214,,,
Q8,SOT-223_N,33.305mm,131.33mm,33.305mm,131.33mm,30.405mm,133.63mm,T,360,IRFL214,,,
Q3,SOT-223_N,33.305mm,143.395mm,33.305mm,143.395mm,30.405mm,145.695mm,T,360,IRFL214,,,
R148,RES1206,36.48mm,140.855mm,36.48mm,140.855mm,37.905mm,140.855mm,B,180,ChipRes,220,,220
R150,RES1206,35.845mm,128.79mm,35.845mm,128.79mm,34.42mm,128.79mm,B,360,ChipRes,220,,220
R147,RES1206,36.48mm,145.935mm,36.48mm,145.935mm,37.905mm,145.935mm,B,180,ChipRes,220,,220
R149,RES1206,35.845mm,133.87mm,35.845mm,133.87mm,34.42mm,133.87mm,B,360,ChipRes,220,,220
U2,SOIC8,44.1mm,144.03mm,44.1mm,144.03mm,46.5mm,142.125mm,T,180,IR2104,,,
Q32,SOT23,51.339mm,71.767mm,51.339mm,71.767mm,50.389mm,70.567mm,T,90,BC847,,,
Q33,SOT23,55.784mm,71.767mm,55.784mm,71.767mm,54.834mm,70.567mm,T,90,BC847,,,
WIFI1,RES1206,53.625mm,135.648mm,53.625mm,135.648mm,53.625mm,137.073mm,T,270,ChipRes,0,,0
C12,CAP0805,83.47mm,69.227mm,83.47mm,69.227mm,83.47mm,68.052mm,T,90,ChipCap,0.01uF,,0.01uF
U18,SOIC8,87.661mm,70.37mm,87.661mm,70.37mm,85.756mm,67.97mm,T,90,M24256,,,
C13,CAP0805,19.589mm,79.895mm,19.589mm,79.895mm,19.589mm,81.07mm,B,270,ChipCap,100nF,,100nF
C25,CAP0805,19.589mm,72.275mm,19.589mm,72.275mm,19.589mm,71.1mm,B,90,ChipCap,100nF,,100nF
U47,SOIC8,20.605mm,76.085mm,20.605mm,76.085mm,18.7mm,73.685mm,T,90,HCPL-0931,,,
C27,CAP0805,87.28mm,61.988mm,87.28mm,61.988mm,86.105mm,61.988mm,T,360,ChipCap,0.1uF,,0.1uF
C29,CAP0805,89.312mm,51.828mm,89.312mm,51.828mm,88.137mm,51.828mm,T,0,ChipCap,0.1uF,,0.1uF
C30,CAP0805,81.057mm,49.288mm,81.057mm,49.288mm,82.232mm,49.288mm,B,180,ChipCap,30 pF,,30 pF
C31,CAP0805,89.312mm,48.526mm,89.312mm,48.526mm,88.137mm,48.526mm,T,360,ChipCap,0.1uF,,0.1uF
R50,RES1206,89.185mm,44.97mm,89.185mm,44.97mm,90.61mm,44.97mm,T,180,ChipRes,49,,49
R51,RES1206,69.627mm,13.22mm,69.627mm,13.22mm,68.202mm,13.22mm,B,360,ChipRes,60,,60
LED11,PLCC-2,33.305mm,100.85mm,33.305mm,100.85mm,34.805mm,100.85mm,T,180,LED 0603,,,
LED12,PLCC-2,33.305mm,96.405mm,33.305mm,96.405mm,34.805mm,96.405mm,T,180,LED 0603,,,
LED13,PLCC-2,33.305mm,91.96mm,33.305mm,91.96mm,34.805mm,91.96mm,T,180,LED 0603,,,
LED14,PLCC-2,33.305mm,87.515mm,33.305mm,87.515mm,34.805mm,87.515mm,T,180,LED 0603,,,
Q34,SOT23,38.385mm,98.945mm,38.385mm,98.945mm,39.585mm,97.995mm,T,180,BC847,,,
Q35,SOT23,38.385mm,95.135mm,38.385mm,95.135mm,39.585mm,94.185mm,T,180,BC847,,,
Q36,SOT23,38.385mm,91.325mm,38.385mm,91.325mm,39.585mm,90.375mm,T,180,BC847,,,
Q37,SOT23,38.385mm,87.515mm,38.385mm,87.515mm,39.585mm,86.565mm,T,180,BC847,,,
R95,RES1206,44.735mm,98.945mm,44.735mm,98.945mm,46.16mm,98.945mm,T,180,ChipRes,1K,,1K
R96,RES1206,44.735mm,95.135mm,44.735mm,95.135mm,46.16mm,95.135mm,T,180,ChipRes,1K,,1K
R114,RES1206,44.735mm,91.325mm,44.735mm,91.325mm,46.16mm,91.325mm,T,180,ChipRes,1K,,1K
R115,RES1206,44.735mm,87.515mm,44.735mm,87.515mm,46.16mm,87.515mm,T,180,ChipRes,1K,,1K
P12,BH810,107.6mm,81.165mm,107.6mm,81.165mm,107.6mm,71.165mm,T,180,BH810,,,
C63,CAPPR5-10x17_1,16.16mm,120.535mm,16.16mm,120.535mm,16.16mm,118.035mm,T,90,Cap Pol 100/47,47u,,47u
C64,CAPC7343,27.59mm,123.075mm,27.59mm,123.075mm,24.09mm,123.075mm,T,360,Cap Pol SMD,47u,,47u
C65,CAPC7343,27.59mm,110.375mm,27.59mm,110.375mm,31.09mm,110.375mm,T,180,Cap Pol SMD,47u,,47u
U48,SOT223-4M,27.59mm,116.725mm,27.59mm,116.725mm,30.54mm,114.425mm,T,180,LM1117,,,
